Index,Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
1,39.4808,12,ObjectCollection,Portal_SteeringWheel,0,1,,Enable_Interface,
2,39.5,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
3,39.8707,12,ObjectCollection,Portal_SteeringWheel,0,1,,Confirm_Transition,World Target (Funland)
4,40.3721,12,ObjectCollection,Portal_SteeringWheel,0,1,,Disable_Interface,
5,58.2493,12,ObjectCollection,Portal_SteeringWheel,0,1,,Enable_Interface,
6,59.5,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
7,61.68,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
8,62.04,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
9,62.5,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
10,62.84,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
11,63.1,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
12,63.3,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
13,63.62,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
14,63.96,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
15,65.28,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Home
16,65.9062,12,ObjectCollection,Portal_SteeringWheel,0,1,,Confirm_Transition,World Target (Home)
17,66.4073,12,ObjectCollection,Portal_SteeringWheel,0,1,,Disable_Interface,
18,92.9567,12,ObjectCollection,Portal_SteeringWheel,0,1,,Enable_Interface,
19,93.06,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
20,94.52,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
21,95.32,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
22,96.12,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
23,96.86,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
24,97.08,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
25,97.36,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
26,97.78,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
27,100.02,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
28,102.94,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
29,103.4,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
30,103.76,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
31,104.3,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
32,104.64,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
33,105.32,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
34,105.84,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
35,106.02,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
36,106.1,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
37,106.24,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
38,107.52,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
39,107.94,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
40,108.24,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
41,108.74,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
42,108.98,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
43,109.24,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
44,113.3,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
45,114.34,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
46,114.64,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
47,115.02,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
48,115.36,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
49,116.32,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
50,116.52,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
51,116.8,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
52,118.62,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
53,119.12,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
54,119.4,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
55,121.3,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,City
56,123.141,12,ObjectCollection,Portal_SteeringWheel,0,1,,Confirm_Transition,World Target (City)
57,123.6423,12,ObjectCollection,Portal_SteeringWheel,0,1,,Disable_Interface,
58,136.0202,12,ObjectCollection,Portal_SteeringWheel,0,1,,Enable_Interface,
59,136.0619,12,ObjectCollection,Portal_SteeringWheel,0,1,,Disable_Interface,
60,139.4724,12,ObjectCollection,Portal_SteeringWheel,0,1,,Enable_Interface,
61,139.5605,12,ObjectCollection,Portal_SteeringWheel,0,1,,Disable_Interface,
62,146.7401,12,ObjectCollection,Portal_SteeringWheel,0,1,,Enable_Interface,
63,146.7599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
64,147.86,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
65,148.7999,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
66,149.5399,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
67,150.2599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
68,150.5799,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
69,150.8199,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
70,151.4599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Home
71,152.56,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
72,152.78,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
73,152.9599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
74,153.1599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
75,153.5399,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
76,154.0799,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
77,154.4999,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
78,155.5799,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
79,155.7599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
80,155.9599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
81,156.4199,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Home
82,157.1399,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Home
83,157.6599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
84,157.8199,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
85,158.0199,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
86,158.2,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
87,158.5599,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Castle
88,161.6799,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Snowy
89,161.8999,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Funland
90,162.0799,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Town
91,162.5399,12,ObjectCollection,Portal_SteeringWheel,0,1,,SelectedMenuItem,Home
