Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
0.3463,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
0.5000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
13.6350,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
14.2971,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
14.8000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
15.3314,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
15.8543,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
16.0096,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
16.2200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
16.5200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
16.8441,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
17.3581,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.1131,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.1546,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
24.6011,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
24.7524,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
25.0354,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
25.7301,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
26.2067,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
32.9418,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
33.0600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
33.3200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
33.6000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
33.6800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
33.7000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
33.7800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
34.1000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
34.2000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
34.2400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
35.5600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
35.5715,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (City),
36.0892,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
36.6272,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
36.7000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
36.9600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
37.5633,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
38.0773,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
