Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
13.9573,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
14.5709,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
40.0176,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
40.5199,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
71.5848,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
73.1152,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
251.2835,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
251.3380,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
326.3365,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
326.8939,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
430.4799,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
430.5092,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
444.6633,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
444.9706,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
445.1924,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
445.2354,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
