Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
3.0724,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
3.0800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
3.4400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
3.5839,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (City),
4.0838,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
4.4886,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
4.4886,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
4.5164,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
4.5164,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
4.5612,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
4.5612,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
4.5995,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
4.5995,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
4.6423,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
4.6600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
5.0800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
5.5546,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
6.0571,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
