Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
2.6353,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
2.8200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
4.1800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
4.7219,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (City),
5.2208,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
5.5558,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
6.0000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
6.3583,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
6.8596,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
11.4720,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
11.5149,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
12.1667,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
12.2799,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
12.9303,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
13.0822,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
13.8326,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
14.0558,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
14.3470,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
14.6367,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
14.9674,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
15.0652,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
15.4814,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
17.6006,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
17.6293,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
18.5649,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
18.5906,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
18.6480,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
18.6749,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
19.0515,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
19.0778,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
19.1050,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
22.5908,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
22.5908,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
22.9114,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
23.4129,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
23.9238,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (City),
24.4381,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.9219,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.9219,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
25.4495,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
25.7278,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
26.2404,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
26.6152,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
26.7404,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
26.9343,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
27.2266,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
27.2793,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
27.7223,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
28.0983,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
28.2387,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
28.6291,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
29.0306,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
29.2396,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
29.7529,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
30.0599,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
30.3810,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
30.4624,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
30.9604,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
31.1271,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
31.3226,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
31.4074,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
31.5462,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
31.9324,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
32.2136,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
32.4901,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
32.7127,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
32.8990,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (City),
33.1429,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
33.1850,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
33.4253,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
33.6578,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
34.1986,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
34.3650,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
34.7127,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
35.0040,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
35.2278,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
35.9460,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
36.5172,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
36.5718,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
36.7364,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
