Timestamp,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,HMD_RotW,LeftHand_PosX,LeftHand_PosY,LeftHand_PosZ,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,LeftHand_RotW,RightHand_PosX,RightHand_PosY,RightHand_PosZ,RightHand_RotX,RightHand_RotY,RightHand_RotZ,RightHand_RotW
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.1354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1700,0.7724,0.0909,0.0246,-0.1023,-0.8390,-0.534,0.0606,0.8022,0.1118,0.0159,0.0875,0.8176,-0.569
0.3161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1696,0.7740,0.0900,-0.0238,0.0719,0.8542,0.514,0.0607,0.8021,0.1114,0.0222,0.0857,0.8154,-0.572
0.3456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1694,0.7725,0.0900,-0.0207,0.1073,0.8407,0.530,0.0603,0.8018,0.1116,0.0220,0.0883,0.8154,-0.572
0.3725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1693,0.7716,0.0904,-0.0218,0.1320,0.8313,0.540,0.0600,0.8016,0.1117,0.0223,0.0890,0.8153,-0.572
0.3833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1694,0.7711,0.0909,-0.0242,0.1448,0.8264,0.544,0.0598,0.8013,0.1118,0.0230,0.0895,0.8153,-0.572
0.3972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1695,0.7709,0.0911,-0.0250,0.1497,0.8246,0.545,0.0596,0.8012,0.1119,0.0237,0.0899,0.8153,-0.572
0.4132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1698,0.7702,0.0915,-0.0244,0.1534,0.8228,0.547,0.0595,0.8011,0.1119,0.0243,0.0905,0.8155,-0.571
0.4268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1701,0.7694,0.0918,-0.0238,0.1566,0.8212,0.548,0.0594,0.8010,0.1119,0.0250,0.0911,0.8156,-0.571
0.4402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1705,0.7688,0.0922,-0.0232,0.1579,0.8209,0.548,0.0593,0.8009,0.1119,0.0258,0.0916,0.8154,-0.571
0.4536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1708,0.7682,0.0925,-0.0226,0.1591,0.8206,0.549,0.0593,0.8008,0.1119,0.0268,0.0922,0.8151,-0.571
0.4669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1710,0.7679,0.0927,-0.0222,0.1592,0.8204,0.549,0.0593,0.8008,0.1118,0.0272,0.0927,0.8149,-0.571
0.4817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1712,0.7677,0.0929,-0.0218,0.1593,0.8203,0.549,0.0592,0.8007,0.1118,0.0276,0.0933,0.8147,-0.572
0.4943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1713,0.7674,0.0930,-0.0214,0.1593,0.8202,0.549,0.0592,0.8007,0.1117,0.0279,0.0939,0.8145,-0.572
0.5096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1714,0.7672,0.0930,-0.0213,0.1590,0.8199,0.550,0.0593,0.8007,0.1117,0.0281,0.0945,0.8143,-0.572
0.5234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1715,0.7671,0.0930,-0.0211,0.1587,0.8198,0.550,0.0594,0.8006,0.1116,0.0282,0.0950,0.8141,-0.572
0.5369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1718,0.7666,0.0931,-0.0208,0.1583,0.8198,0.550,0.0596,0.8006,0.1116,0.0279,0.0952,0.8140,-0.572
0.5482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1721,0.7661,0.0932,-0.0205,0.1579,0.8198,0.550,0.0598,0.8005,0.1117,0.0276,0.0954,0.8139,-0.573
0.5649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1724,0.7656,0.0933,-0.0203,0.1577,0.8198,0.550,0.0599,0.8004,0.1117,0.0272,0.0955,0.8138,-0.573
0.5738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1723,0.7656,0.0935,-0.0202,0.1577,0.8199,0.550,0.0601,0.8004,0.1117,0.0268,0.0957,0.8140,-0.572
