Timestamp,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,HMD_RotW,LeftHand_PosX,LeftHand_PosY,LeftHand_PosZ,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,LeftHand_RotW,RightHand_PosX,RightHand_PosY,RightHand_PosZ,RightHand_RotX,RightHand_RotY,RightHand_RotZ,RightHand_RotW
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1025,0.7181,0.0659,0.2311,-0.1619,-0.1966,-0.939,0.3097,0.6911,0.0674,0.2721,-0.2301,0.3160,-0.879
0.2408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1023,0.7185,0.0663,0.2313,-0.1608,-0.1916,-0.940,0.3094,0.6903,0.0684,0.2807,-0.2297,0.3172,-0.876
0.2551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1022,0.7185,0.0665,0.2293,-0.1587,-0.1951,-0.940,0.3095,0.6902,0.0685,0.2761,-0.2313,0.3146,-0.878
0.2687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1021,0.7185,0.0666,0.2283,-0.1577,-0.1967,-0.940,0.3095,0.6902,0.0686,0.2743,-0.2321,0.3134,-0.879
0.2816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1021,0.7186,0.0665,0.2275,-0.1574,-0.1975,-0.940,0.3096,0.6902,0.0686,0.2733,-0.2325,0.3128,-0.879
0.2963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1021,0.7187,0.0665,0.2269,-0.1572,-0.1981,-0.941,0.3098,0.6901,0.0687,0.2726,-0.2328,0.3124,-0.880
0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1022,0.7187,0.0664,0.2268,-0.1572,-0.1983,-0.940,0.3099,0.6900,0.0688,0.2721,-0.2329,0.3124,-0.880
0.3312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1022,0.7186,0.0663,0.2266,-0.1573,-0.1985,-0.940,0.3100,0.6900,0.0690,0.2718,-0.2330,0.3124,-0.880
0.3393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1023,0.7186,0.0663,0.2264,-0.1569,-0.1984,-0.941,0.3101,0.6900,0.0691,0.2713,-0.2332,0.3126,-0.880
0.3505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1025,0.7185,0.0663,0.2261,-0.1565,-0.1982,-0.941,0.3102,0.6900,0.0692,0.2709,-0.2334,0.3127,-0.880
0.3668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1026,0.7185,0.0663,0.2259,-0.1562,-0.1981,-0.941,0.3103,0.6899,0.0693,0.2704,-0.2336,0.3129,-0.880
0.3799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1027,0.7185,0.0664,0.2258,-0.1560,-0.1981,-0.941,0.3104,0.6899,0.0692,0.2698,-0.2338,0.3130,-0.880
0.3931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1027,0.7186,0.0665,0.2257,-0.1558,-0.1980,-0.941,0.3106,0.6899,0.0692,0.2691,-0.2341,0.3133,-0.880
0.4082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1028,0.7186,0.0666,0.2255,-0.1556,-0.1979,-0.941,0.3107,0.6899,0.0691,0.2685,-0.2344,0.3136,-0.880
0.4214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1028,0.7185,0.0666,0.2253,-0.1554,-0.1975,-0.941,0.3107,0.6901,0.0693,0.2682,-0.2346,0.3139,-0.880
0.4356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1027,0.7185,0.0666,0.2252,-0.1552,-0.1972,-0.941,0.3108,0.6902,0.0695,0.2679,-0.2348,0.3142,-0.880
0.4493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1027,0.7184,0.0666,0.2251,-0.1550,-0.1971,-0.942,0.3110,0.6902,0.0695,0.2677,-0.2350,0.3141,-0.880
0.4627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000,-0.1027,0.7183,0.0667,0.2248,-0.1548,-0.1971,-0.942,0.3114,0.6902,0.0695,0.2675,-0.2351,0.3140,-0.880
