Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
8.1954,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
19.3800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
20.7400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
21.0618,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
21.0899,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
21.9380,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.5600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
25.3200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
25.8800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
27.0000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
40.7000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
48.8804,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
52.9322,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
53.3916,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
53.7382,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
64.2667,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
70.1990,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
79.8400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
80.6600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
80.8000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
81.2000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
81.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
81.7200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
81.9800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
82.3000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
82.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
82.7400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
84.9848,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
