Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
1.5312,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
1.8400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
2.1400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
2.4896,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
3.0025,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
3.3011,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
3.5400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
3.8200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
4.1186,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
4.6225,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
10.0790,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
10.1600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
10.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
11.2400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
11.4000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
11.7800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
11.9200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
12.0800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
12.2800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
13.3400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
14.2681,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
14.7673,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
15.5598,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
15.8200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
16.0800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
16.2800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
16.4600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
16.5800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
16.6800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
16.8400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
16.9800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
17.3000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
18.3800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
18.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
18.7000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
19.1134,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
19.8630,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
19.9600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
20.6800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
20.8000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
21.1000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
22.2200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
23.4708,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
23.9851,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.5266,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
24.8400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
25.0200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
25.5306,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
26.0194,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
29.6195,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
29.7000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
30.0600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
30.2800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
31.2600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
31.7400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
31.8600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
32.2000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
32.4800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
32.5600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
32.7200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
33.4000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
33.5200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
33.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
33.7400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
34.3200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
35.4400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
35.4685,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
35.9709,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
36.3992,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
36.5200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
36.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
36.7800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
37.3000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
37.7800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
38.1600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
38.5800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
39.6586,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
40.1623,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
40.5190,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
40.7600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
41.0200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
41.5222,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
42.0246,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
