Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
0.2602,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
3.7804,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
3.8000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
4.1800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
4.4000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
5.2287,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
5.7437,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
6.3985,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
6.4000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
6.7200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
6.9800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
7.4012,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
7.9027,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
10.1709,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
10.1800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
10.3400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
10.8671,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
11.3688,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
11.5357,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
11.5600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
12.0646,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
12.5653,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
12.7599,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
12.7600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
13.3600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
13.8874,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
