Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
0.1595,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
3.8748,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
6.8091,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
11.6444,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
12.3400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
12.8806,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
13.3958,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
13.6635,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
13.7800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
14.1800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
14.5261,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
15.0267,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
20.1875,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
20.2000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
20.3000,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
20.4400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
20.7200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
20.8200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
20.9200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
21.2800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
21.5800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
21.8200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,City,
22.4737,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
