Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
14.6232,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
14.6400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
17.3011,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.3342,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.3400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
24.4144,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
24.9284,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.9561,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.9561,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.9842,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
24.9842,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
24.9999,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
25.6811,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
25.9448,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
26.5600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
26.6023,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
27.0437,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
38.5685,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
38.5981,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
38.7115,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
39.2257,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
39.7523,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
45.0705,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
45.1559,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
60.5773,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
61.5814,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
79.5131,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
80.2922,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
80.3887,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
80.4463,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
103.1255,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
103.5159,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
105.0464,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
105.5476,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
108.7196,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
108.8320,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
109.2079,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
110.0016,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
115.4451,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
115.9607,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
117.2705,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
117.4930,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
118.6206,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
118.7737,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
