Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
3.1286,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
3.1400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
3.8800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
4.6200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
8.3600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
8.7674,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Funland),
9.2804,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
9.8095,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
9.9400,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
10.3800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
10.7294,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
11.2313,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
12.0951,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
12.1600,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
13.0001,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
13.5130,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
14.2782,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
14.6800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
15.3386,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
15.8379,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
25.2773,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
25.2800,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Castle,
25.7200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Home,
26.1023,999,ObjectCollection,Portal_Palette_Hand,0,1,,Confirm_Transition,World Target (Home),
26.6041,999,ObjectCollection,Portal_Palette_Hand,0,1,,Disable_Interface,,
36.8400,999,ObjectCollection,Portal_Palette_Hand,0,1,,Enable_Interface,,
36.9200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Funland,
39.3200,999,ObjectCollection,Portal_Palette_Hand,0,1,,SelectedMenuItem,Town,
