Index,Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
1,9.1011,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
2,9.12,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Funland
3,9.88,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Funland
4,10.3,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Funland
5,10.92,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Funland
6,11.38,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
7,11.5673,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
8,11.9136,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
9,12.16,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Funland
10,12.38,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Funland
11,12.4438,11,ObjectCollection,WIM_SteeringWheel,0,1,,Confirm_Transition,World Target (Funland)
12,12.5129,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
13,12.8477,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
14,12.9609,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
15,12.9879,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
16,12.9879,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
17,13.0155,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
18,13.0155,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
19,13.0457,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
20,14.8,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
21,15.14,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
22,15.92,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,City
23,16.58,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
24,19.26,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
25,20.62,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
26,21.3,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Castle
27,22.44,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
28,23.26,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
29,31.32,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
30,32.58,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,City
31,34.5,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Home
32,35.44,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,City
33,35.9,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
34,37.0,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
35,39.02,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
36,39.38,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Castle
37,43.14,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
38,48.36,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Snowy
39,58.7,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
40,60.68,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,City
41,62.1097,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
42,63.4735,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
43,63.48,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
44,64.7,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
45,64.98,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
46,67.62,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
47,68.02,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,City
48,71.08,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,City
49,73.36,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
50,75.7651,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
51,93.7815,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
52,93.86,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
53,96.9931,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
54,97.2434,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
55,97.96,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
56,100.9318,11,ObjectCollection,WIM_SteeringWheel,0,1,,Disable_Interface,
57,101.1426,11,ObjectCollection,WIM_SteeringWheel,0,1,,Enable_Interface,
58,101.16,11,ObjectCollection,WIM_SteeringWheel,0,1,,SelectedMenuItem,Town
