Participant,Technique,TechniquePreview,TechniqueInteractionSpace,TechniquePreviewSpace,InteractionMetaphor,TaskBlock,Trial,SearchTime,RetrieveTime,DepositTime,TotalTime,ErrorCount
21,Baseline,None,OneHanded,World,Baseline,0,1,7.6432,3.3737999999999992,2.3343000000000025,16.3842,1
21,Baseline,None,OneHanded,World,Baseline,0,2,11.177200000000003,2.6755999999999958,2.0013000000000005,19.0703,3
21,Baseline,None,OneHanded,World,Baseline,0,3,5.959000000000003,5.063499999999998,2.2860999999999976,16.2584,1
21,Baseline,None,OneHanded,World,Baseline,0,4,11.080699999999993,2.5834000000000117,2.5131999999999977,19.182500000000005,3
21,Baseline,None,OneHanded,World,Baseline,0,5,16.452299999999994,2.9093000000000018,2.242599999999996,24.31819999999999,4
21,Baseline,None,OneHanded,World,Baseline,0,6,5.191299999999998,2.1321000000000083,2.268799999999999,12.3887,1
21,Baseline,None,OneHanded,World,Baseline,0,7,5.359800000000007,2.634900000000002,2.140100000000004,12.87530000000001,1
21,Baseline,None,OneHanded,World,Baseline,0,8,9.465499999999992,3.0938999999999908,2.3512000000000057,17.804100000000005,2
21,Baseline,None,OneHanded,World,Baseline,0,9,2.172499999999985,2.0827999999999918,1.7592000000000212,8.977899999999977,0
21,Baseline,None,OneHanded,World,Baseline,0,10,5.734800000000007,2.782499999999999,2.509600000000006,14.101300000000009,1
21,Baseline,None,OneHanded,World,Baseline,0,11,15.326999999999998,2.3689999999999998,1.7244000000000028,21.96610000000001,4
21,Baseline,None,OneHanded,World,Baseline,0,12,7.642300000000006,2.3275999999999897,1.8782999999999959,14.323999999999984,2
21,Baseline,None,OneHanded,World,Baseline,0,13,7.349500000000006,2.456400000000002,2.2512999999999863,14.657900000000012,2
21,Baseline,None,OneHanded,World,Baseline,0,14,4.411200000000008,2.5167999999999893,2.2050000000000125,11.790199999999999,1
21,Baseline,None,OneHanded,World,Baseline,0,15,1.907199999999989,2.6706000000000074,2.3843999999999994,9.32650000000001,0
