Index,Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
81,227.5593,8,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
82,227.9923,8,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
83,228.2987,8,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (Snowscape)
84,228.2987,8,ObjectCollection,Baseline,0,1,,Disable_Interface,
85,234.3799,8,ObjectCollection,Baseline,0,1,goldCoin_snowy_grab_3,GrabbedCoin,30.03
86,252.2023,8,ObjectCollection,Baseline,0,1,,Enable_Interface,
87,252.2302,8,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Town
88,252.2581,8,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Town
89,252.9957,8,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
90,253.1911,8,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Home
91,253.4826,8,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (Home)
92,253.4826,8,ObjectCollection,Baseline,0,1,,Disable_Interface,
93,257.5766,8,ObjectCollection,Baseline,0,1,goldCoin_snowy_grab_3,DepositedInChest,23.20
94,257.5766,8,ObjectCollection,Baseline,0,2,goldCoin_medieval_grab,SpawnedCoin,0.00
95,260.6684,8,ObjectCollection,Baseline,0,2,,Enable_Interface,
96,261.2796,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Town
97,261.3779,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Castle
98,261.5873,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Snowy
99,261.8376,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Funland
100,262.2547,8,ObjectCollection,Baseline,0,2,,Confirm_Transition,World Target (Funland)
101,262.2547,8,ObjectCollection,Baseline,0,2,,Disable_Interface,
102,265.4292,8,ObjectCollection,Baseline,0,2,,Enable_Interface,
103,265.4431,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Snowy
104,265.4855,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Snowy
105,266.0982,8,ObjectCollection,Baseline,0,2,,Confirm_Transition,World Target (Snowscape)
106,266.0982,8,ObjectCollection,Baseline,0,2,,Disable_Interface,
107,268.018,8,ObjectCollection,Baseline,0,2,,Enable_Interface,
108,268.032,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Funland
109,268.185,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Castle
110,268.6305,8,ObjectCollection,Baseline,0,2,,Confirm_Transition,World Target (Castle)
111,268.6305,8,ObjectCollection,Baseline,0,2,,Disable_Interface,
112,270.581,8,ObjectCollection,Baseline,0,2,,Enable_Interface,
113,270.7752,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Town
114,270.8445,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Town
115,270.9421,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Town
116,271.8186,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,City
117,271.9588,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,City
118,272.7668,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Town
119,273.03,8,ObjectCollection,Baseline,0,2,,Confirm_Transition,World Target (Town)
120,273.03,8,ObjectCollection,Baseline,0,2,,Disable_Interface,
121,277.2199,8,ObjectCollection,Baseline,0,2,goldCoin_medieval_grab,GrabbedCoin,19.64
122,278.3905,8,ObjectCollection,Baseline,0,2,,Enable_Interface,
123,278.9606,8,ObjectCollection,Baseline,0,2,,Disable_Interface,
124,279.0571,8,ObjectCollection,Baseline,0,2,,Enable_Interface,
125,279.0715,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,City
126,279.2392,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Snowy
127,279.6574,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Funland
128,280.3114,8,ObjectCollection,Baseline,0,2,,SelectedMenuItem,Home
