Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
12.4130,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
12.4200,17,ObjectCollection,WIM_Palette_Hand,0,1,,SelectedMenuItem,Funland,
12.5200,17,ObjectCollection,WIM_Palette_Hand,0,1,,SelectedMenuItem,Town,
12.5537,17,ObjectCollection,WIM_Palette_Hand,0,1,,Confirm_Transition,World Target (Town),
12.6085,17,ObjectCollection,WIM_Palette_Hand,0,1,,Disable_Interface,,
38.5568,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
39.0707,17,ObjectCollection,WIM_Palette_Hand,0,1,,Disable_Interface,,
39.8359,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
41.4084,17,ObjectCollection,WIM_Palette_Hand,0,1,,Disable_Interface,,
41.9517,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
56.1400,17,ObjectCollection,WIM_Palette_Hand,0,1,,SelectedMenuItem,Castle,
58.5600,17,ObjectCollection,WIM_Palette_Hand,0,1,,SelectedMenuItem,Castle,
62.0839,17,ObjectCollection,WIM_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
62.5284,17,ObjectCollection,WIM_Palette_Hand,0,1,,Disable_Interface,,
63.0856,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
63.1000,17,ObjectCollection,WIM_Palette_Hand,0,1,,SelectedMenuItem,Snowy,
63.1147,17,ObjectCollection,WIM_Palette_Hand,0,1,,Confirm_Transition,World Target (Snowscape),
63.1567,17,ObjectCollection,WIM_Palette_Hand,0,1,,Disable_Interface,,
64.8116,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
65.6800,17,ObjectCollection,WIM_Palette_Hand,0,1,,SelectedMenuItem,Castle,
66.1368,17,ObjectCollection,WIM_Palette_Hand,0,1,,Confirm_Transition,World Target (Castle),
66.2318,17,ObjectCollection,WIM_Palette_Hand,0,1,,Disable_Interface,,
95.7292,17,ObjectCollection,WIM_Palette_Hand,0,1,,Enable_Interface,,
