Index,Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
1,110.6039,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
2,110.7417,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
3,110.8024,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
4,110.8707,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
5,111.4254,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
6,111.4536,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
7,116.9517,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
8,117.0079,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
9,139.0293,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
10,139.58,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
11,139.78,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
12,139.8199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
13,139.86,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
14,139.92,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
15,140.3,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
16,141.06,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
17,144.06,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
18,150.2,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
19,152.7986,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
20,153.3663,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
21,153.4599,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
22,153.563,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (City)
23,153.6462,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
24,153.979,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
25,153.9799,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Town
26,154.0797,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
27,154.131,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
28,154.131,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
29,154.1944,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
30,154.2,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Town
31,154.34,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Town
32,157.3999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
33,157.84,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
34,160.3575,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (Home)
35,160.858,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
36,161.6082,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
37,161.6199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
38,162.5999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
39,163.1539,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (Castle)
40,163.656,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
41,164.4774,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
42,165.1599,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
43,167.9999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
44,168.9599,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
45,169.7999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
46,169.9799,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
47,170.2999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
48,170.7599,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
49,170.9799,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
50,172.3999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
51,173.1799,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
52,173.8199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
53,174.4999,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
54,175.0199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
55,178.9951,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (Home)
56,179.0933,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
57,182.1397,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
58,182.4199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
59,182.7199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,City
60,183.3388,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (City)
61,183.4221,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
62,184.4245,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
63,184.4399,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
64,184.8199,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
65,185.0399,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
66,185.6799,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
67,186.1599,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
68,186.7654,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (Castle)
69,187.2658,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
70,188.1129,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
71,188.6399,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Castle
72,188.8799,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Home
73,189.6168,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Confirm_Transition,World Target (Home)
74,189.9224,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
75,191.9274,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
76,191.9553,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
77,198.9827,9,ObjectCollection,WIM_Palette_HeadHand,0,1,goldCoin_funland_grab,SpawnedCoin,0.00
78,199.5263,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
79,199.5971,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
80,199.6525,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
81,199.6937,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Disable_Interface,
82,204.8299,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,Enable_Interface,
83,205.2599,9,ObjectCollection,WIM_Palette_HeadHand,0,1,,SelectedMenuItem,Funland
