Index,Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
1,17.4747,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
2,17.5265,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
3,17.6001,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
4,18.3511,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
5,18.8236,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
6,19.9526,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
7,20.4823,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
8,22.2495,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
9,22.9322,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Town
10,23.5152,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
11,24.0176,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
12,24.2665,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
13,26.8997,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
14,27.3029,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
15,27.47,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
16,29.0438,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
17,29.893,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Town
18,30.4622,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
19,31.2009,3,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (City)
20,31.2009,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
21,35.0466,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
22,35.8361,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
23,36.3083,3,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (Castle)
24,36.3083,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
25,40.8199,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
26,41.5158,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Town
27,41.5314,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
28,41.6143,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
29,41.7183,3,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (City)
30,41.7183,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
31,42.8671,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
32,42.8816,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
33,42.9637,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
34,43.5334,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
35,45.5943,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
36,78.1407,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
37,78.1711,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
38,78.2393,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
39,78.8924,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
40,79.3799,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
41,79.4768,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Home
42,80.8129,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
43,81.5227,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
44,82.4,3,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (Funland)
45,82.4,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
46,89.4143,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
47,89.4287,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
48,89.4701,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
49,90.0539,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Home
50,90.3466,3,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (Home)
51,90.3466,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
52,90.3889,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
53,90.4029,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
54,90.8486,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
55,90.8634,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
56,90.891,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
57,92.2974,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
58,93.9119,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
59,94.5793,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Funland
60,96.1793,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
61,106.7858,3,ObjectCollection,Baseline,0,1,goldCoin_castle_grab,SpawnedCoin,0.00
62,109.0973,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
63,109.2507,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
64,109.5279,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Castle
65,109.8489,3,ObjectCollection,Baseline,0,1,,Confirm_Transition,World Target (Castle)
66,109.8489,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
67,110.3222,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
68,110.3367,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,City
69,110.3877,3,ObjectCollection,Baseline,0,1,,SelectedMenuItem,Snowy
70,110.3877,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
71,115.2,3,ObjectCollection,Baseline,0,1,goldCoin_castle_grab,GrabbedCoin,8.41
72,115.2088,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
73,117.9516,3,ObjectCollection,Baseline,0,1,,Disable_Interface,
74,118.3407,3,ObjectCollection,Baseline,0,1,,Enable_Interface,
