Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
100.3401,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
100.6200,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
102.0799,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
200.5509,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
200.7399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
222.3957,13,ObjectCollection,Portal_Gallery,0,1,,Confirm_Transition,World Target (Funland),
222.8972,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
231.7936,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
235.6399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
235.8799,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
236.2199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
236.7199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Home,
247.7895,13,ObjectCollection,Portal_Gallery,0,1,,Confirm_Transition,World Target (Home),
248.2902,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
250.0999,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
250.2599,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
250.9767,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
252.2715,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
252.2999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
268.9999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
297.1199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
300.7399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
301.7799,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
302.6599,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
304.1399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
304.2399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
304.3999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
304.9999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
309.2999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
310.0599,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
310.1399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
311.3799,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
311.5999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
315.5918,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
321.5073,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
321.5399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
322.9999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
324.1199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
324.5199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
324.9199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
325.2399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Snowy,
325.3999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Castle,
325.9199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Snowy,
326.0199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
326.1799,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
326.4399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
327.5199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
327.6799,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
327.9399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
328.1399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Snowy,
328.3399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Castle,
328.6999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Snowy,
328.8999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
329.1399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
329.4599,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
330.2199,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
330.4799,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
330.6599,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Funland,
331.2399,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,Town,
358.2344,13,ObjectCollection,Portal_Gallery,0,1,,Confirm_Transition,World Target (Town),
358.7348,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
359.7377,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
363.6999,13,ObjectCollection,Portal_Gallery,0,1,,SelectedMenuItem,City,
364.1246,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
365.7940,13,ObjectCollection,Portal_Gallery,0,1,,Enable_Interface,,
366.0869,13,ObjectCollection,Portal_Gallery,0,1,,Disable_Interface,,
