Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
91.4014,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
91.7352,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
181.6042,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
182.2302,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
182.2720,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
182.2847,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
182.3404,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
182.4242,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
184.0387,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
184.9166,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
184.9721,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
185.1532,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
186.0300,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
186.1837,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
186.5169,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
186.8093,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
186.8236,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
186.9060,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
187.1568,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
188.2434,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
257.6173,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
257.7283,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
257.8130,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
258.4113,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
265.5115,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
265.5406,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
265.7755,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
266.2630,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
266.6246,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
266.9726,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
267.8500,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
267.8641,15,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
