Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
495.4647,6,ObjectCollection,WIM_Gallery,0,1,,Enable_Interface,
496.2598,6,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,City
496.5598,6,ObjectCollection,WIM_Gallery,0,1,,SelectedMenuItem,Home
497.1768,6,ObjectCollection,WIM_Gallery,0,1,,Confirm_Transition,World Target (Home)
497.6782,6,ObjectCollection,WIM_Gallery,0,1,,Disable_Interface,
497.6998,6,ObjectCollection,WIM_Gallery,0,1,goldCoin_medieval_grab_2,DepositedInChest,19.96
497.6998,6,ObjectCollection,WIM_Gallery,0,2,goldCoin_funland_grab,SpawnedCoin,0
499.3217,6,ObjectCollection,WIM_Gallery,0,2,,Enable_Interface,
499.3798,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Town
499.4598,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,City
503.1502,6,ObjectCollection,WIM_Gallery,0,2,,Disable_Interface,
508.2718,6,ObjectCollection,WIM_Gallery,0,2,,Enable_Interface,
508.3998,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Funland
508.5798,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Snowy
508.9798,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Castle
509.1598,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Snowy
509.2998,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Funland
512.4798,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Snowy
513.1998,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Funland
514.5936,6,ObjectCollection,WIM_Gallery,0,2,,Confirm_Transition,World Target (Funland)
515.0931,6,ObjectCollection,WIM_Gallery,0,2,,Disable_Interface,
545.2998,6,ObjectCollection,WIM_Gallery,0,2,goldCoin_funland_grab,GrabbedCoin,47.6
545.3135,6,ObjectCollection,WIM_Gallery,0,2,,Enable_Interface,
545.5398,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Town
545.8198,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,City
548.6598,6,ObjectCollection,WIM_Gallery,0,2,,SelectedMenuItem,Home
549.5313,6,ObjectCollection,WIM_Gallery,0,2,,Confirm_Transition,World Target (Home)
550.0317,6,ObjectCollection,WIM_Gallery,0,2,,Disable_Interface,
551.5219,6,ObjectCollection,WIM_Gallery,0,2,,Enable_Interface,
554.2799,6,ObjectCollection,WIM_Gallery,0,2,goldCoin_funland_grab,DepositedInChest,8.98
554.2799,6,ObjectCollection,WIM_Gallery,0,3,goldCoin_castle_grab,SpawnedCoin,0
554.2799,6,ObjectCollection,WIM_Gallery,0,3,,Disable_Interface,
557.4375,6,ObjectCollection,WIM_Gallery,0,3,,Enable_Interface,
557.4798,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Town
558.2312,6,ObjectCollection,WIM_Gallery,0,3,,Confirm_Transition,World Target (Town)
558.7328,6,ObjectCollection,WIM_Gallery,0,3,,Disable_Interface,
559.4822,6,ObjectCollection,WIM_Gallery,0,3,,Enable_Interface,
559.511,6,ObjectCollection,WIM_Gallery,0,3,,Disable_Interface,
559.8168,6,ObjectCollection,WIM_Gallery,0,3,,Enable_Interface,
560.4998,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Funland
560.6998,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Snowy
560.8198,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Snowy
561.4798,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Castle
562.325,6,ObjectCollection,WIM_Gallery,0,3,,Confirm_Transition,World Target (Castle)
562.8256,6,ObjectCollection,WIM_Gallery,0,3,,Disable_Interface,
567.1798,6,ObjectCollection,WIM_Gallery,0,3,goldCoin_castle_grab,GrabbedCoin,12.9
569.2986,6,ObjectCollection,WIM_Gallery,0,3,,Enable_Interface,
569.5198,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Funland
569.8598,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Town
569.8998,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,City
570.0998,6,ObjectCollection,WIM_Gallery,0,3,,SelectedMenuItem,Home
573.6266,6,ObjectCollection,WIM_Gallery,0,3,,Confirm_Transition,World Target (Home)
574.1292,6,ObjectCollection,WIM_Gallery,0,3,,Disable_Interface,
574.1412,6,ObjectCollection,WIM_Gallery,0,3,,Enable_Interface,
574.3229,6,ObjectCollection,WIM_Gallery,0,3,,Disable_Interface,
575.7426,6,ObjectCollection,WIM_Gallery,0,3,,Enable_Interface,
577.9279,6,ObjectCollection,WIM_Gallery,0,3,goldCoin_castle_grab,DepositedInChest,10.75
577.9279,6,ObjectCollection,WIM_Gallery,0,4,goldCoin_city_grab,SpawnedCoin,0
577.9279,6,ObjectCollection,WIM_Gallery,0,4,,Disable_Interface,
579.111,6,ObjectCollection,WIM_Gallery,0,4,,Enable_Interface,
579.1398,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Town
580.6398,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Funland
580.7998,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Snowy
581.1198,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Funland
581.4398,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Snowy
581.6798,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Castle
582.3198,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Snowy
582.5398,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Funland
582.7598,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Town
583.6398,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,City
584.4717,6,ObjectCollection,WIM_Gallery,0,4,,Confirm_Transition,World Target (City)
584.9875,6,ObjectCollection,WIM_Gallery,0,4,,Disable_Interface,
589.1398,6,ObjectCollection,WIM_Gallery,0,4,goldCoin_city_grab,GrabbedCoin,11.21
591.4743,6,ObjectCollection,WIM_Gallery,0,4,,Enable_Interface,
592.0998,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Town
592.3398,6,ObjectCollection,WIM_Gallery,0,4,,SelectedMenuItem,Home
592.8796,6,ObjectCollection,WIM_Gallery,0,4,,Confirm_Transition,World Target (Home)
593.3961,6,ObjectCollection,WIM_Gallery,0,4,,Disable_Interface,
596.3019,6,ObjectCollection,WIM_Gallery,0,4,goldCoin_city_grab,DepositedInChest,7.16
596.3019,6,ObjectCollection,WIM_Gallery,0,5,goldCoin_funland_grab_3,SpawnedCoin,0
598.3217,6,ObjectCollection,WIM_Gallery,0,5,,Enable_Interface,
598.5998,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Funland
599.3398,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Snowy
600.1398,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Castle
600.8998,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Snowy
601.0398,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Funland
601.0998,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Town
601.3198,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,City
601.8398,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Town
602.0798,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Funland
605.1417,6,ObjectCollection,WIM_Gallery,0,5,,Confirm_Transition,World Target (Funland)
605.6429,6,ObjectCollection,WIM_Gallery,0,5,,Disable_Interface,
610.5198,6,ObjectCollection,WIM_Gallery,0,5,goldCoin_funland_grab_3,GrabbedCoin,14.22
610.5291,6,ObjectCollection,WIM_Gallery,0,5,,Enable_Interface,
610.5798,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Town
610.8598,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,City
612.0398,6,ObjectCollection,WIM_Gallery,0,5,,SelectedMenuItem,Home
613.7446,6,ObjectCollection,WIM_Gallery,0,5,,Confirm_Transition,World Target (Home)
614.2457,6,ObjectCollection,WIM_Gallery,0,5,,Disable_Interface,
617.0015,6,ObjectCollection,WIM_Gallery,0,5,goldCoin_funland_grab_3,DepositedInChest,6.48
617.0015,6,ObjectCollection,WIM_Gallery,0,6,goldCoin_medieval_grab_3,SpawnedCoin,0
618.6863,6,ObjectCollection,WIM_Gallery,0,6,,Enable_Interface,
618.7398,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Town
619.3598,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Funland
619.5198,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Snowy
620.3598,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Castle
620.9598,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Snowy
621.1798,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Funland
621.3798,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Town
622.7093,6,ObjectCollection,WIM_Gallery,0,6,,Confirm_Transition,World Target (Town)
623.2106,6,ObjectCollection,WIM_Gallery,0,6,,Disable_Interface,
634.5598,6,ObjectCollection,WIM_Gallery,0,6,goldCoin_medieval_grab_3,GrabbedCoin,17.56
636.2242,6,ObjectCollection,WIM_Gallery,0,6,,Enable_Interface,
636.6198,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Funland
637.0798,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,City
637.2843,6,ObjectCollection,WIM_Gallery,0,6,,Confirm_Transition,World Target (City)
637.799,6,ObjectCollection,WIM_Gallery,0,6,,Disable_Interface,
638.2585,6,ObjectCollection,WIM_Gallery,0,6,,Enable_Interface,
638.3598,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Town
641.4198,6,ObjectCollection,WIM_Gallery,0,6,,SelectedMenuItem,Home
642.463,6,ObjectCollection,WIM_Gallery,0,6,,Confirm_Transition,World Target (Home)
642.9636,6,ObjectCollection,WIM_Gallery,0,6,,Disable_Interface,
643.9642,6,ObjectCollection,WIM_Gallery,0,6,,Enable_Interface,
646.8317,6,ObjectCollection,WIM_Gallery,0,6,goldCoin_medieval_grab_3,DepositedInChest,12.27
646.8317,6,ObjectCollection,WIM_Gallery,0,7,goldCoin_funland_grab_2,SpawnedCoin,0
646.8317,6,ObjectCollection,WIM_Gallery,0,7,,Disable_Interface,
649.4211,6,ObjectCollection,WIM_Gallery,0,7,,Enable_Interface,
649.6998,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Town
653.2997,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,City
654.0574,6,ObjectCollection,WIM_Gallery,0,7,,Confirm_Transition,World Target (City)
654.5871,6,ObjectCollection,WIM_Gallery,0,7,,Disable_Interface,
654.6459,6,ObjectCollection,WIM_Gallery,0,7,,Enable_Interface,
654.6598,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Home
656.7798,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Town
657.8597,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Funland
658.0598,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Snowy
658.7598,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Funland
658.9598,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Town
659.4598,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Funland
661.7798,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Funland
663.6773,6,ObjectCollection,WIM_Gallery,0,7,,Confirm_Transition,World Target (Funland)
664.1788,6,ObjectCollection,WIM_Gallery,0,7,,Disable_Interface,
667.7598,6,ObjectCollection,WIM_Gallery,0,7,goldCoin_funland_grab_2,GrabbedCoin,20.93
667.7697,6,ObjectCollection,WIM_Gallery,0,7,,Enable_Interface,
668.0198,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Town
669.8198,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,City
673.1797,6,ObjectCollection,WIM_Gallery,0,7,,SelectedMenuItem,Home
674.2957,6,ObjectCollection,WIM_Gallery,0,7,,Confirm_Transition,World Target (Home)
674.7959,6,ObjectCollection,WIM_Gallery,0,7,,Disable_Interface,
677.2609,6,ObjectCollection,WIM_Gallery,0,7,goldCoin_funland_grab_2,DepositedInChest,9.5
677.2609,6,ObjectCollection,WIM_Gallery,0,8,goldCoin_city_grab_3,SpawnedCoin,0
678.2498,6,ObjectCollection,WIM_Gallery,0,8,,Enable_Interface,
678.4797,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Funland
679.2997,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Snowy
679.6398,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Castle
680.1597,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Snowy
680.2598,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Funland
680.3398,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Town
680.5198,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,City
682.1611,6,ObjectCollection,WIM_Gallery,0,8,,Confirm_Transition,World Target (City)
682.6756,6,ObjectCollection,WIM_Gallery,0,8,,Disable_Interface,
684.9797,6,ObjectCollection,WIM_Gallery,0,8,goldCoin_city_grab_3,GrabbedCoin,7.72
685.0001,6,ObjectCollection,WIM_Gallery,0,8,,Enable_Interface,
685.1797,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Funland
685.8398,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Snowy
686.4598,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Funland
686.5598,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Town
686.7798,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Home
687.5198,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Home
687.5895,6,ObjectCollection,WIM_Gallery,0,8,,Confirm_Transition,World Target (Home)
688.0769,6,ObjectCollection,WIM_Gallery,0,8,,Disable_Interface,
688.1035,6,ObjectCollection,WIM_Gallery,0,8,,Enable_Interface,
688.2798,6,ObjectCollection,WIM_Gallery,0,8,,SelectedMenuItem,Funland
691.1234,6,ObjectCollection,WIM_Gallery,0,8,goldCoin_city_grab_3,DepositedInChest,6.14
691.1234,6,ObjectCollection,WIM_Gallery,0,9,goldCoin_snowy_grab,SpawnedCoin,0
691.1234,6,ObjectCollection,WIM_Gallery,0,9,,Disable_Interface,
692.3069,6,ObjectCollection,WIM_Gallery,0,9,,Enable_Interface,
692.3597,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Town
692.9197,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,City
694.7997,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,City
694.9797,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Town
695.0798,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Funland
695.2797,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Snowy
696.6355,6,ObjectCollection,WIM_Gallery,0,9,,Confirm_Transition,World Target (Snowscape)
697.1396,6,ObjectCollection,WIM_Gallery,0,9,,Disable_Interface,
700.5397,6,ObjectCollection,WIM_Gallery,0,9,goldCoin_snowy_grab,GrabbedCoin,9.42
700.5494,6,ObjectCollection,WIM_Gallery,0,9,,Enable_Interface,
700.7197,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Town
702.3798,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,City
702.7397,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Home
704.8229,6,ObjectCollection,WIM_Gallery,0,9,,Disable_Interface,
705.0312,6,ObjectCollection,WIM_Gallery,0,9,,Enable_Interface,
705.0397,6,ObjectCollection,WIM_Gallery,0,9,,SelectedMenuItem,Home
708.0805,6,ObjectCollection,WIM_Gallery,0,9,,Confirm_Transition,World Target (Home)
708.5806,6,ObjectCollection,WIM_Gallery,0,9,,Disable_Interface,
711.0313,6,ObjectCollection,WIM_Gallery,0,9,goldCoin_snowy_grab,DepositedInChest,10.49
711.0313,6,ObjectCollection,WIM_Gallery,0,10,goldCoin_city_grab_2,SpawnedCoin,0
711.6022,6,ObjectCollection,WIM_Gallery,0,10,,Enable_Interface,
711.6398,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,Funland
711.8539,6,ObjectCollection,WIM_Gallery,0,10,,Confirm_Transition,World Target (Funland)
712.3557,6,ObjectCollection,WIM_Gallery,0,10,,Disable_Interface,
713.0089,6,ObjectCollection,WIM_Gallery,0,10,,Enable_Interface,
713.0598,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,Town
713.6198,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,Town
713.7197,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,City
713.9998,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,Home
714.1797,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,City
716.9067,6,ObjectCollection,WIM_Gallery,0,10,,Confirm_Transition,World Target (City)
717.4084,6,ObjectCollection,WIM_Gallery,0,10,,Disable_Interface,
720.0598,6,ObjectCollection,WIM_Gallery,0,10,goldCoin_city_grab_2,GrabbedCoin,9.03
720.0671,6,ObjectCollection,WIM_Gallery,0,10,,Enable_Interface,
720.5598,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,Town
722.9197,6,ObjectCollection,WIM_Gallery,0,10,,SelectedMenuItem,Home
723.8829,6,ObjectCollection,WIM_Gallery,0,10,,Confirm_Transition,World Target (Home)
724.1019,6,ObjectCollection,WIM_Gallery,0,10,,Disable_Interface,
726.2588,6,ObjectCollection,WIM_Gallery,0,10,goldCoin_city_grab_2,DepositedInChest,6.2
726.2588,6,ObjectCollection,WIM_Gallery,0,11,goldCoin_castle_grab_3,SpawnedCoin,0
727.3176,6,ObjectCollection,WIM_Gallery,0,11,,Enable_Interface,
727.4797,6,ObjectCollection,WIM_Gallery,0,11,,SelectedMenuItem,Town
727.5598,6,ObjectCollection,WIM_Gallery,0,11,,SelectedMenuItem,City
727.8798,6,ObjectCollection,WIM_Gallery,0,11,,SelectedMenuItem,City
