Timestamp,ParticipantID,TaskType,Technique,TaskBlock,Trial,CoinName,Event,Duration
27.6507,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
27.9800,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Town,
28.0800,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Town,
30.6291,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Confirm_Transition,World Target (Town),
31.1309,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.1451,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.1451,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.1591,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.1591,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.1730,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.1730,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.1868,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.1868,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.2008,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.2008,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.2143,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.2143,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.2282,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.2282,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.2419,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.2562,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.2698,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.2698,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.2846,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
31.2846,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
31.3002,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
33.3200,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Home,
33.6200,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,City,
34.0000,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Home,
35.5600,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,City,
35.9000,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,City,
38.5800,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,City,
39.7800,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Home,
41.9883,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
42.5600,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
43.2557,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Disable_Interface,,
58.5125,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,Enable_Interface,,
58.5800,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Home,
58.9000,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,Home,
58.9200,2,ObjectCollection,Portal_Palette_HeadHand,0,1,,SelectedMenuItem,City,
